"","real_delay","schedule_arrival_time","predicted_delay","predict_percentage_error","predict_error"
"1",1136,"2018-05-22 18:28:00",353.195878167183,0.689088135416212,782.804121832817
"2",0,"2018-05-21 17:10:00",104.576310990934,NA,-104.576310990934
"3",146,"2018-05-23 05:51:00",242.29467493813,0.659552568069385,-96.2946749381303
"4",6,"2018-05-25 13:15:00",135.82048965653,21.6367482760883,-129.82048965653
"5",176,"2018-05-25 15:18:00",147.651484112404,0.161071112997703,28.3485158875957
"6",255,"2018-05-23 18:01:00",180.413620498332,0.292495605888892,74.5863795016676
"7",566,"2018-05-22 07:37:00",172.151130746193,0.695846058752309,393.848869253807
"8",0,"2018-05-25 20:31:00",29.491286475441,NA,-29.491286475441
"9",458,"2018-05-25 13:18:00",204.101713483473,0.554363070996784,253.898286516527
"10",469,"2018-05-25 22:19:00",324.591055680755,0.30790819684274,144.408944319245
"11",365,"2018-05-23 16:58:00",378.960708785175,0.0382485172196575,-13.960708785175
"12",302,"2018-05-24 18:13:00",401.175152920615,0.328394546094752,-99.1751529206152
"13",1534,"2018-05-23 17:49:00",734.178964507139,0.521395720660275,799.821035492861
"14",-91,"2018-05-23 20:06:00",112.815039286932,2.2397257064498,-203.815039286932
"15",0,"2018-05-23 06:21:00",16.1131075902658,NA,-16.1131075902658
"16",-118,"2018-05-22 19:30:00",160.368862770582,2.35905815907272,-278.368862770582
"17",200,"2018-05-24 15:55:00",541.575077030267,1.70787538515134,-341.575077030267
"18",298,"2018-05-23 19:05:00",490.065650116978,0.644515604419388,-192.065650116978
"19",46,"2018-05-23 21:31:00",163.778723906519,2.56040704144606,-117.778723906519
"20",1112,"2018-05-25 17:05:00",524.214348711933,0.528584218784233,587.785651288067
"21",-44,"2018-05-22 13:40:00",171.918748593191,4.90724428620889,-215.918748593191
"22",22,"2018-05-25 09:23:00",221.80019805891,9.08182718449591,-199.80019805891
"23",718,"2018-05-23 19:29:00",412.879385943645,0.424959072501887,305.120614056355
"24",698,"2018-05-23 18:21:00",316.390096093042,0.546719060038621,381.609903906958
"25",149,"2018-05-24 15:44:00",40.763607243006,0.72641874333553,108.236392756994
"26",9,"2018-05-21 17:50:00",346.424514905588,37.4916127672875,-337.424514905588
"27",0,"2018-05-21 15:18:00",193.948704918542,NA,-193.948704918542
"28",36,"2018-05-24 21:53:00",29.0688727624643,0.192531312153769,6.93112723753569
"29",87,"2018-05-25 13:40:00",254.584020195198,1.92625310569193,-167.584020195198
"30",1308,"2018-05-25 16:40:00",619.716652589875,0.526210510252389,688.283347410125
"31",-32,"2018-05-24 13:58:00",105.840837438786,4.30752616996206,-137.840837438786
"32",88,"2018-05-23 19:21:00",99.5371717173655,0.131104224060972,-11.5371717173655
"33",113,"2018-05-24 06:50:00",205.253796055472,0.816405274827183,-92.2537960554717
"34",64,"2018-05-22 16:19:00",277.354005959417,3.3336563431159,-213.354005959417
"35",152,"2018-05-25 06:54:00",147.094641722055,0.0322720939338472,4.90535827794477
"36",231,"2018-05-24 17:11:00",182.112831157348,0.211632765552606,48.887168842652
"37",171,"2018-05-23 14:30:00",225.546134488541,0.318983242623049,-54.5461344885414
"38",71,"2018-05-23 19:41:00",172.085675296483,1.42374190558427,-101.085675296483
